x1,x2,y
3.496714153011233,2.861735698828815,1.0
3.6476885381006925,4.523029856408026,1.0
2.765846625276664,2.7658630430508193,1.0
4.5792128155073915,3.767434729152909,1.0
2.530525614065048,3.5425600435859645,1.0
2.5365823071875377,2.534270246429743,1.0
3.241962271566034,1.086719755342202,1.0
1.2750821674869672,2.437712470759027,1.0
1.9871688796655762,3.314247332595274,1.0
2.091975924478789,1.5876962986647085,1.0
4.465648768921554,2.774223699513464,1.0
3.0675282046879238,1.5752518137865432,1.0
2.4556172754748173,3.1109225897098662,1.0
1.8490064225776972,3.375698018345672,1.0
2.3993613100811952,2.708306250206723,1.0
2.398293387770603,4.852278184508938,1.0
2.986502775262066,1.9422890710440996,1.0
3.822544912103189,1.7791563500289778,1.0
3.2088635950047553,1.0403298761202244,1.0
1.6718139511015695,3.1968612358691235,1.0
3.7384665799954107,3.1713682811899706,1.0
2.8843517176117595,2.6988963044107113,1.0
1.5214780096325726,2.2801557916052912,1.0
2.5393612290402126,4.057122226218915,1.0
3.3436182895684614,1.236959844637266,1.0
3.324083969394795,2.6149177195836835,1.0
2.3230779996940414,3.6116762888408678,1.0
4.030999522495951,3.931280119116199,1.0
2.1607824767773613,2.6907876241487854,1.0
3.331263431403564,3.975545127122359,1.0
2.52082576215471,2.814341023336183,1.0
1.8936650259939718,1.8037933759193292,1.0
3.812525822394198,4.356240028570823,1.0
2.927989878419666,4.003532897892024,1.0
3.361636025047634,2.3548802453948756,1.0
3.361395605508414,4.538036566465969,1.0
2.9641739608900486,4.564643655814006,1.0
0.38025489591025563,3.821902504375224,1.0
3.087047068238171,2.7009926495341325,1.0
3.0917607765355024,1.0124310853991072,1.0
2.780328112162488,3.3571125715117462,1.0
4.477894044741516,2.4817297817263526,1.0
2.1915063971068123,2.4982429564154636,1.0
3.915402117702074,3.3287511096596845,1.0
2.470239796232961,3.513267433113356,1.0
3.0970775493480405,3.9686449905328893,1.0
2.2979469061226476,2.6723378534022317,1.0
2.6078918468678425,1.5364850518678814,1.0
3.296120277064576,3.261055272179889,1.0
3.005113456642461,2.765412866624853,1.0
-4.415370742050414,-3.420645322765359,-1.0
-3.3427145165267693,-3.802277269221619,-1.0
-3.161285711666009,-2.5959491431854618,-1.0
-1.1138140987894698,-2.825422187168161,-1.0
-2.7424496092772355,-3.074445915766167,-1.0
-4.918771215299041,-3.0265138754492167,-1.0
-2.9397697900589734,-0.5367578875147139,-1.0
-3.1923609647811224,-2.6984526576663876,-1.0
-3.0347117697052433,-4.168678037619532,-1.0
-1.8571771854849795,-2.2480669673132256,-1.0
-2.208968052956953,-3.909387454794739,-1.0
-1.5972056890639008,-4.4018510627922804,-1.0
-2.4131429061997296,-0.8095443741900215,-1.0
-3.9905363251306882,-3.566297729602772,-1.0
-2.900348634912359,-3.5034756541161993,-1.0
-4.550663431066132,-2.9314370251939725,-1.0
-4.062303713726105,-2.5264075693648183,-1.0
-3.9194242342338033,-1.4500655949824606,-1.0
-3.783253292336237,-3.3220615162056757,-1.0
-2.18648278263033,-4.230864316433955,-1.0
-2.7725400653958707,-1.692857245717572,-1.0
-4.6074832345612275,-2.815366141467696,-1.0
-2.7401172057515764,-2.2181771282226896,-1.0
-4.236950710878082,-4.320456613084277,-1.0
-2.4780584343831022,-2.7030153267668138,-1.0
-2.7495071496541232,-2.653551790503024,-1.0
-3.6800247215784907,-2.7677463028389964,-1.0
-2.706927526701319,-3.714351418026368,-1.0
-1.1342254888552434,-2.5261670790882125,-1.0
-4.191303497202648,-2.3434463913661703,-1.0
-3.9746816702273216,-2.212915396257548,-1.0
-1.841404420992596,-3.8206823183517105,-1.0
-2.0366238707556783,-2.5872190730635016,-1.0
-2.17793984000551,-1.1032070173460526,-1.0
-3.2453881160028706,-3.7537361643574894,-1.0
-3.8895144296255233,-3.8158102849654383,-1.0
-3.077101709414104,-2.658848025183356,-1.0
-2.723309200669981,-2.1728167509639764,-1.0
-2.986998108122093,-1.5464659228426831,-1.0
-3.264656833237956,-0.2798308334103812,-1.0
-2.374332652234994,-3.8571575564162828,-1.0
-4.070892498061112,-2.517527584756815,-1.0
-3.223462785325851,-2.285999505907908,-1.0
-2.526762375426455,-3.0728289126568726,-1.0
-3.846793718068405,-4.514847224685864,-1.0
-3.4465149520670213,-2.1436012056765277,-1.0
-2.7859062558697962,-4.2457387787119885,-1.0
-2.826819074148818,-2.614682620271163,-1.0
-3.883857436201133,-2.846274894054472,-1.0
-2.941791281554,-4.142970297830623,-1.0
